file_id,dataset_id,mip_era,activity_drs,institution_id,source_id,experiment_id,member_id,table_id,frequency,grid_label,version,nominal_resolution,variable_id,variable_long_name,variable_units,datetime_start,datetime_end,file_size,data_node,file_url,dataset_pid,tracking_id,count,decade_0_start,decade_0_end,decade_N_end,decade_N_start,base_file_name,out_file_name,out_full_folder,out_path,keep
CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r1i1p1f1.Omon.intpp.gn.v20191115.intpp_Omon_ACCESS-ESM1-5_historical_r1i1p1f1_gn_185001-201412.nc|esgf.nci.org.au,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r1i1p1f1.Omon.intpp.gn.v20191115|esgf.nci.org.au,CMIP6,CMIP,CSIRO,ACCESS-ESM1-5,historical,r1i1p1f1,Omon,mon,gn,20191115,250 km,intpp,Primary Organic Carbon Production by All Types of Phytoplankton,mol m-2 s-1,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,500537777,esgf.nci.org.au,http://esgf.nci.org.au/thredds/fileServer/master/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/historical/r1i1p1f1/Omon/intpp/gn/v20191115/intpp_Omon_ACCESS-ESM1-5_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/311d0772-ce1e-3440-8745-85eb365c65e0,hdl:21.14100/44046366-ac50-4be5-bf42-e1be7c65e37e,1,1850,1859,2014,2005,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r1i1p1f1.Omon.intpp.gn.v20191115,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r1i1p1f1.Omon.intpp.gn.v20191115.1850-1859_2005-2014.nc,/perm_storage/home/data/CMIP6_data/ACCESS-ESM1-5/historical,/perm_storage/home/data/CMIP6_data/ACCESS-ESM1-5/historical/CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r1i1p1f1.Omon.intpp.gn.v20191115.1850-1859_2005-2014.nc,TRUE
CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r1i1p1f1.Omon.tos.gn.v20191115.tos_Omon_ACCESS-ESM1-5_historical_r1i1p1f1_gn_185001-201412.nc|esgf.nci.org.au,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r1i1p1f1.Omon.tos.gn.v20191115|esgf.nci.org.au,CMIP6,CMIP,CSIRO,ACCESS-ESM1-5,historical,r1i1p1f1,Omon,mon,gn,20191115,250 km,tos,Sea Surface Temperature,degC,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,490332982,esgf.nci.org.au,http://esgf.nci.org.au/thredds/fileServer/master/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/historical/r1i1p1f1/Omon/tos/gn/v20191115/tos_Omon_ACCESS-ESM1-5_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/f485bfb8-0aa6-3ba1-a413-9ffa4a2e9ef2,hdl:21.14100/02850fcc-be64-40de-b7ca-9b8aa6e688a0,1,1850,1859,2014,2005,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r1i1p1f1.Omon.tos.gn.v20191115,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r1i1p1f1.Omon.tos.gn.v20191115.1850-1859_2005-2014.nc,/perm_storage/home/data/CMIP6_data/ACCESS-ESM1-5/historical,/perm_storage/home/data/CMIP6_data/ACCESS-ESM1-5/historical/CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r1i1p1f1.Omon.tos.gn.v20191115.1850-1859_2005-2014.nc,TRUE
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp245.r1i1p1f1.Omon.intpp.gn.v20191115.intpp_Omon_ACCESS-ESM1-5_ssp245_r1i1p1f1_gn_201501-210012.nc|esgf.nci.org.au,CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp245.r1i1p1f1.Omon.intpp.gn.v20191115|esgf.nci.org.au,CMIP6,ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp245,r1i1p1f1,Omon,mon,gn,20191115,250 km,intpp,Primary Organic Carbon Production by All Types of Phytoplankton,mol m-2 s-1,2015-01-01T00:00:00Z,2100-12-01T00:00:00Z,261237227,esgf.nci.org.au,http://esgf.nci.org.au/thredds/fileServer/master/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp245/r1i1p1f1/Omon/intpp/gn/v20191115/intpp_Omon_ACCESS-ESM1-5_ssp245_r1i1p1f1_gn_201501-210012.nc,hdl:21.14100/1997ec1e-1ffb-3133-a4f5-efd9d1f53ab9,hdl:21.14100/5ab2f881-d384-4b73-b358-25c33a1d8eb7,1,2015,2024,2100,2091,CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp245.r1i1p1f1.Omon.intpp.gn.v20191115,CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp245.r1i1p1f1.Omon.intpp.gn.v20191115.2015-2024_2091-2100.nc,/perm_storage/home/data/CMIP6_data/ACCESS-ESM1-5/ssp245,/perm_storage/home/data/CMIP6_data/ACCESS-ESM1-5/ssp245/CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp245.r1i1p1f1.Omon.intpp.gn.v20191115.2015-2024_2091-2100.nc,TRUE
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp245.r1i1p1f1.Omon.tos.gn.v20191115.tos_Omon_ACCESS-ESM1-5_ssp245_r1i1p1f1_gn_201501-210012.nc|esgf.nci.org.au,CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp245.r1i1p1f1.Omon.tos.gn.v20191115|esgf.nci.org.au,CMIP6,ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp245,r1i1p1f1,Omon,mon,gn,20191115,250 km,tos,Sea Surface Temperature,degC,2015-01-01T00:00:00Z,2100-12-01T00:00:00Z,256505287,esgf.nci.org.au,http://esgf.nci.org.au/thredds/fileServer/master/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp245/r1i1p1f1/Omon/tos/gn/v20191115/tos_Omon_ACCESS-ESM1-5_ssp245_r1i1p1f1_gn_201501-210012.nc,hdl:21.14100/feb45e04-2915-3fdd-b2dd-abffa42c5d9b,hdl:21.14100/ea8ff790-77c2-4a4c-bc3f-3f2048c626ba,1,2015,2024,2100,2091,CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp245.r1i1p1f1.Omon.tos.gn.v20191115,CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp245.r1i1p1f1.Omon.tos.gn.v20191115.2015-2024_2091-2100.nc,/perm_storage/home/data/CMIP6_data/ACCESS-ESM1-5/ssp245,/perm_storage/home/data/CMIP6_data/ACCESS-ESM1-5/ssp245/CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp245.r1i1p1f1.Omon.tos.gn.v20191115.2015-2024_2091-2100.nc,TRUE
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp245.r1i1p1f1.SImon.siconc.gn.v20200817.siconc_SImon_ACCESS-ESM1-5_ssp245_r1i1p1f1_gn_201501-210012.nc_0|esgf.nci.org.au,CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp245.r1i1p1f1.SImon.siconc.gn.v20200817|esgf.nci.org.au,CMIP6,ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp245,r1i1p1f1,SImon,mon,gn,20200817,250 km,siconc,Sea-Ice Area Percentage (Ocean Grid),%,2015-01-01T00:00:00Z,2100-12-01T00:00:00Z,82121102,esgf.nci.org.au,http://esgf.nci.org.au/thredds/fileServer/master/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp245/r1i1p1f1/SImon/siconc/gn/v20200817/siconc_SImon_ACCESS-ESM1-5_ssp245_r1i1p1f1_gn_201501-210012.nc,hdl:21.14100/21ecb154-2707-3afc-875f-8c1517d3fc85,hdl:21.14100/26c69272-0a1c-4d0d-8bb9-0f767c064404,1,2015,2024,2100,2091,CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp245.r1i1p1f1.SImon.siconc.gn.v20200817,CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp245.r1i1p1f1.SImon.siconc.gn.v20200817.2015-2024_2091-2100.nc,/perm_storage/home/data/CMIP6_data/ACCESS-ESM1-5/ssp245,/perm_storage/home/data/CMIP6_data/ACCESS-ESM1-5/ssp245/CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp245.r1i1p1f1.SImon.siconc.gn.v20200817.2015-2024_2091-2100.nc,TRUE
CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r1i1p1f1.SImon.siconc.gn.v20200817.siconc_SImon_ACCESS-ESM1-5_historical_r1i1p1f1_gn_185001-201412.nc_0|esgf.nci.org.au,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r1i1p1f1.SImon.siconc.gn.v20200817|esgf.nci.org.au,CMIP6,CMIP,CSIRO,ACCESS-ESM1-5,historical,r1i1p1f1,SImon,mon,gn,20200817,250 km,siconc,Sea-Ice Area Percentage (Ocean Grid),%,1850-01-01T00:00:00Z,2014-12-01T00:00:00Z,166027439,esgf.nci.org.au,http://esgf.nci.org.au/thredds/fileServer/master/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/historical/r1i1p1f1/SImon/siconc/gn/v20200817/siconc_SImon_ACCESS-ESM1-5_historical_r1i1p1f1_gn_185001-201412.nc,hdl:21.14100/9a49b498-6997-3ad0-8f8c-8ca9c33c1a18,hdl:21.14100/931b0664-d90c-46d5-b9fb-f7f17b8cefd5,1,1850,1859,2014,2005,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r1i1p1f1.SImon.siconc.gn.v20200817,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r1i1p1f1.SImon.siconc.gn.v20200817.1850-1859_2005-2014.nc,/perm_storage/home/data/CMIP6_data/ACCESS-ESM1-5/historical,/perm_storage/home/data/CMIP6_data/ACCESS-ESM1-5/historical/CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r1i1p1f1.SImon.siconc.gn.v20200817.1850-1859_2005-2014.nc,TRUE
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126.r1i1p1f1.Omon.intpp.gn.v20210318.intpp_Omon_ACCESS-ESM1-5_ssp126_r1i1p1f1_gn_201501-210012.nc_0|esgf.nci.org.au,CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126.r1i1p1f1.Omon.intpp.gn.v20210318|esgf.nci.org.au,CMIP6,ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,Omon,mon,gn,20210318,250 km,intpp,Primary Organic Carbon Production by All Types of Phytoplankton,mol m-2 s-1,2015-01-01T00:00:00Z,2100-12-01T00:00:00Z,261311595,esgf.nci.org.au,http://esgf.nci.org.au/thredds/fileServer/master/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/Omon/intpp/gn/v20210318/intpp_Omon_ACCESS-ESM1-5_ssp126_r1i1p1f1_gn_201501-210012.nc,hdl:21.14100/f2c19a60-93cb-3f62-b39f-b18deba189b3,hdl:21.14100/3245dfe2-439e-47e2-ba73-332016f091a2,1,2015,2024,2100,2091,CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126.r1i1p1f1.Omon.intpp.gn.v20210318,CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126.r1i1p1f1.Omon.intpp.gn.v20210318.2015-2024_2091-2100.nc,/perm_storage/home/data/CMIP6_data/ACCESS-ESM1-5/ssp126,/perm_storage/home/data/CMIP6_data/ACCESS-ESM1-5/ssp126/CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126.r1i1p1f1.Omon.intpp.gn.v20210318.2015-2024_2091-2100.nc,TRUE
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126.r1i1p1f1.Omon.tos.gn.v20210318.tos_Omon_ACCESS-ESM1-5_ssp126_r1i1p1f1_gn_201501-210012.nc_0|esgf.nci.org.au,CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126.r1i1p1f1.Omon.tos.gn.v20210318|esgf.nci.org.au,CMIP6,ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp126,r1i1p1f1,Omon,mon,gn,20210318,250 km,tos,Sea Surface Temperature,degC,2015-01-01T00:00:00Z,2100-12-01T00:00:00Z,256376896,esgf.nci.org.au,http://esgf.nci.org.au/thredds/fileServer/master/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r1i1p1f1/Omon/tos/gn/v20210318/tos_Omon_ACCESS-ESM1-5_ssp126_r1i1p1f1_gn_201501-210012.nc,hdl:21.14100/09d00a5d-490a-3fde-8625-39718ec1c4f3,hdl:21.14100/b2b1fd90-3b5e-4e39-8622-ca49cce52038,1,2015,2024,2100,2091,CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126.r1i1p1f1.Omon.tos.gn.v20210318,CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126.r1i1p1f1.Omon.tos.gn.v20210318.2015-2024_2091-2100.nc,/perm_storage/home/data/CMIP6_data/ACCESS-ESM1-5/ssp126,/perm_storage/home/data/CMIP6_data/ACCESS-ESM1-5/ssp126/CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126.r1i1p1f1.Omon.tos.gn.v20210318.2015-2024_2091-2100.nc,TRUE
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp585.r1i1p1f1.Omon.tos.gn.v20210318.tos_Omon_ACCESS-ESM1-5_ssp585_r1i1p1f1_gn_201501-210012.nc_0|esgf.nci.org.au,CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp585.r1i1p1f1.Omon.tos.gn.v20210318|esgf.nci.org.au,CMIP6,ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp585,r1i1p1f1,Omon,mon,gn,20210318,250 km,tos,Sea Surface Temperature,degC,2015-01-01T00:00:00Z,2100-12-01T00:00:00Z,256432477,esgf.nci.org.au,http://esgf.nci.org.au/thredds/fileServer/master/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp585/r1i1p1f1/Omon/tos/gn/v20210318/tos_Omon_ACCESS-ESM1-5_ssp585_r1i1p1f1_gn_201501-210012.nc,hdl:21.14100/c1440219-32ed-351a-b449-c024d9e17596,hdl:21.14100/39125f03-b0c7-4cb1-95fd-72e6b2114417,1,2015,2024,2100,2091,CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp585.r1i1p1f1.Omon.tos.gn.v20210318,CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp585.r1i1p1f1.Omon.tos.gn.v20210318.2015-2024_2091-2100.nc,/perm_storage/home/data/CMIP6_data/ACCESS-ESM1-5/ssp585,/perm_storage/home/data/CMIP6_data/ACCESS-ESM1-5/ssp585/CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp585.r1i1p1f1.Omon.tos.gn.v20210318.2015-2024_2091-2100.nc,TRUE
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp585.r1i1p1f1.Omon.intpp.gn.v20210318.intpp_Omon_ACCESS-ESM1-5_ssp585_r1i1p1f1_gn_201501-210012.nc_0|esgf.nci.org.au,CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp585.r1i1p1f1.Omon.intpp.gn.v20210318|esgf.nci.org.au,CMIP6,ScenarioMIP,CSIRO,ACCESS-ESM1-5,ssp585,r1i1p1f1,Omon,mon,gn,20210318,250 km,intpp,Primary Organic Carbon Production by All Types of Phytoplankton,mol m-2 s-1,2015-01-01T00:00:00Z,2100-12-01T00:00:00Z,261199002,esgf.nci.org.au,http://esgf.nci.org.au/thredds/fileServer/master/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp585/r1i1p1f1/Omon/intpp/gn/v20210318/intpp_Omon_ACCESS-ESM1-5_ssp585_r1i1p1f1_gn_201501-210012.nc,hdl:21.14100/84531ec4-cdbc-31f5-82ec-cfe9a7209a38,hdl:21.14100/8903e171-e202-4a0e-9a6f-9564c39b82a6,1,2015,2024,2100,2091,CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp585.r1i1p1f1.Omon.intpp.gn.v20210318,CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp585.r1i1p1f1.Omon.intpp.gn.v20210318.2015-2024_2091-2100.nc,/perm_storage/home/data/CMIP6_data/ACCESS-ESM1-5/ssp585,/perm_storage/home/data/CMIP6_data/ACCESS-ESM1-5/ssp585/CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp585.r1i1p1f1.Omon.intpp.gn.v20210318.2015-2024_2091-2100.nc,TRUE
